Nota,TitluReview,Nume,Data,Review
10/10,Good lord,link9933,10/6/2019,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh."
10/10,"Finally, a REAL movie",davestroud-76036,10/4/2019,"This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you."
9/10,Not a spoon feeding of CGI fueled faux drama.,brianmlucas,10/5/2019,"The movie affects you in a way that makes it physically painful to experience, but in a good way."
10/10,Critics are useless!,jennifer_camp28,10/6/2019,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong.I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie.What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!"
10/10,Oscar for Phoenix,issrafeel,10/3/2019,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.
10/10,Joker > Endgame,burkholdermicah,9/2/2019,"Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways."
10/10,The Rise of the Joker!,ahmetkozan,11/13/2019,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don't need CGI super powers to be a great villain in a Superhero movie. Is a joke not everyone gets. This movie is ""the rise of the Joker!"" 10/10"
9/10,Don't (forget to) smile.,Aaron_Kyle,12/1/2019,"Joker is directed by Todd Philips and stars Joaquin Phoenix as Arthur Fleck, a man disregarded and thrown out of society.We live in an era in which formulaic comic book movies are more and more common. Joker not only proves that you can make a comic book movie without a villain but also proves that comic book movies can be used as psychological studies reflecting on how our society views and treats mental health issues of certain individuals.If I had to describe Joaquin Phoenix as the Joker in one word it would be mesmerising. His take on the iconic comic book character is filled with emotional depth to the point where it's almost painful to watch and flawlessly realistic making it one of the best performances of the decade.The cinematography is also something to note. It is full of gorgeous shots with a beautiful colour palate making it's shot composition and structure heavily differ from most comic book films.The score is very minimalistic but every time it comes on it feels unsettling and haunting which adds to the suspense of the story.My biggest and only issue with Joker is that it's too inspired by Scorsese's King of Comedy and Taxi Driver making the majority of the film predictable. However, making it predictable didn't take away much from its quality and only made it more unsettling because we can see the degradation of Joker's mind before it happens making the film more depressing.I wouldn't really call Joker a comic book movie. Yes, it's based on a comic book and depicts arguably the most iconic comic book character of all time, but it stands alone among dozens of its predecessors as a psychological drama that reflects on society and its issues rather than a fantasy world.Overall, Joker is a brilliant take on the character, however it's not for the faint of heart or narrow-minded and prejudiced people.Final Grade - 9/10"
10/10,BELIEVE THE HYPE,j_bone-43816,10/4/2019,"Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both."
10/10,Masterpiece.,ahakimshashaa,10/3/2019,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8."
10/10,You wouldn't get it,nerdgasms,11/30/2019,This was amazing. DC needs to stick with the serious and more realistic stuff. I haven't seen a DC movie this good since the Nolan Dark Knight films. This was a surprising place to find a realistic take on mental health issues and I was not expecting to ever feel bad for the Joker. The fact that some of the media doesn't get this movie is kinda ironic isn't it? It's almost like they want something negative to occur so they can blame it on the movie instead of looking in the mirror.
10/10,2nd time and still amazing......,kasper-rieck,11/20/2019,"Saw Joker for the second time in a cinema to night, and I was still both entertained and amazed over this masterpiece......One of the best films for many years and just might the best performance by a leading actor since Taxidriver and still maybe even better....Joaquin must win the Oscar for that performance.... I was blown away by his portrail of Joker.Go see it for the first, second or maybe eight time👍😊"
10/10,A masterpiece of our time,abhinav-prkash,11/18/2019,A masterpiece of our time
10/10,Brilliant. And best joker I've ever seen,colimexadrian,10/4/2019,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down."
10/10,Requiem of a broken man,andymaranam,10/1/2019,"The perfect portrait of a decline to insanity""& Joaquin Phoenix portrays this flawlessly in a performance of a lifetime.Choreographed impeccably by Todd Phillips & is nothing short of breathtaking.The cinematography & backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack & acting. A hauntingly beautiful film & A Definate 10/10.Edit: Bring on part 2 plssssss!. We all want it!."
10/10,Movie of the Decade,diorboeyoung,10/4/2019,"The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it."
10/10,Anyone who rates this movie poorly clearly doesn't appreciate cinema,fitchbuster,10/9/2019,"While the trailers for this movie have may seemed like there was potential for an action packed movie, this movie, clearly before it came to theaters was intended to be a progressive character study. You shouldn't go into this movie expecting intense action or the joker we know of the past. This is a movie about how Arthur Fleck becomes the Joker.I have seen so many bad reviews about how boring or slow the movie is, but I believe it was utter perfection. The first part of the movie we begin to understand Arthur as a person. All of his interactions with everyone in his life, be it good or bad. The whole point of a character study is evolution. And this is far and away one of the greatest evolutions of a character I have ever seen in a movie.Joaquin Phoenix's performance is by far the best acting I have seen in a movie possibly in the last few decades. We see a challenged person be challenged by society and it completely breaks him down over time. And Joaquin isn't acting, he is evolving all throughout the movie. If anyone thinks he doesn't put on an Oscar winning performance, they're out of their effing mind. Yes, the movie is slow to start, but it has to be. We couldn't just jump into the joker and all the chaos. We need to know where it came from to begin with.The whole compilation of the movie is amazing. The complete Oscar deserving performance of Joaquin, the choreography, the cinematography, the score. Everything is in perfect harmony. While there may have been a lot of controversy surrounding this movie, the team put together a perfect movie and I pity those who can't appreciate the tears and sweat and emotion that went into making this movie.I have always been so one sided in my movie preferences between Marvel and DC. I feel like Marvel is sooo much better overall and most movies DC puts out are trash. But Joker is far and away my favorite comic movie. Even though it takes a completely different spin on comic movies. You have to appreciate the evolution to appreciate this movie. It's not an action movie, but it's really rips and tears at all the emotions in one movie while adding a wild suspenseful kick. No other comic book movie has done that before."
9/10,Probably one of the best comic book movies out there with a performance of Phoenix that will make you speechless at the end #Venice76,dmehic,9/4/2019,Probably one of the best comic book movies out there with a performance of Phoenix that will make you speechless at the end #Venice76
10/10,CLOWN PRINCE OF CRIME has arrived,prasadraokodasu,9/1/2019,"10/10 Amazing story, Brilliant taking, magnificent cinematography.Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care.Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker.I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight.Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors.Definitely a top contender for Oscars. I personally think it would take away1.Best Actor 2.Cinematography 3.Original score and if Once Upon a time in Hollywood loses in Make-up and hairstyling category it would definitely be to The Joker."
10/10,Best DC movie since The Dark Knight Rises,NpMoviez,10/15/2019,"DC can STILL give us a compelling movie. Wasn't quite hyped about it, I mean, an origin story of a villain made by the director of Hangover movies; what could I even expect? Then, the reviews started to drop. Still wasn't sure if I would like it. And after I saw it, it was way better than I thought it would be. I won't call it a masterpiece, but it definitely is on my top 3 DC films of all times!Good : There's hardly anything bad about Joker. Joaquin Phoenix does a great job of bringing the character into life. Rather than a typical superhero/supervillain origin story, we get to see a psychological drama + horror, and thank God, we got that. I love the genre, I love films like Infinity War, Days of Future Past, Endgame and Raimi's Spider-Man. But occasionally, it's really good to take a break from such films. It's, kind of, in the category of films like Unbreakable. Basically, the movie is (no spoilers ahead) Arthur, being tormented by the society and being a mentally unstable loner, loses his mind after the constant torment and after that, all hell breaks loose. That's all the movie shows. It would be quite difficult to give a really good story for a plot like this, since there are many movies with this kind of plot (awfully crappy ones included). I completely liked this movie, means the screenplay and direction worked for me. You can feel for Arthur, whenever the movie asks you to. You want to root for Arthur, but you know that it will mean some incredibly terrible things will happen. We see him slowly transition into Joker, and when he completely turns into the Joker it is worth a round of applause. We feel good as well as terrified with the actions of the Joker whenever he snaps and crazy stuff happens. Without getting into spoilers, I would say - in short - that it has many quotable lines and each of them make sense. Whatever Joker (a psychopath) says is more realistic than what a sane person says. And obviously has some sick, terrifying and gruesome Joker moments that a proper Joker movie should have. If it's not clear by the trailers, there's no Batman here. But (again, no spoilers) it does have some Batman references to support the movie. It could've created a mess and might have felt like a shoehorned plotline, but it plays out as a proper support for the main story and the transition of Arthur into Joker.Mixed : It is a good thing that the movie has a 70s psycho horror vibe to it. But, it could've been more original. Like many others have pointed out, it's similar to Taxi Driver by Scorsese. While it wasn't a copy and paste of Taxi Driver, but some parts make it obvious that the movie was inspired by Taxi Driver. Not necessarily a bad thing, the movie has the elements as a homage-ish way, but looking at how well made it was, it could've been slightly more original. And, it may feel a bit slow for some people, though it's worth your time.My take on the controversy : It can happen that some morons might watch this film and cause violence. It can happen with any violent movie. But, even though it justified the Joker's actions, it doesn't show them to be right. Speaking of violence, it's just psychologically compelling horror. It's less violent than Deadpool, but feels more violent as it's a serious movie. So, glorification and siding with a psychopath is a complete and total nonsense.Conclusion : It's a must watch. You don't need to follow any of the DC movies to understand it. But do not expect it to be a typical superhero action film with CGI battles and a spectacle. Wrong expectations might ruin the experience. Else, I found it to be better than The Dark Knight Rises. And TDKR is one of my favorites in the genre. If a Nolan movie is replaced by another movie in my list, you may consider it to be great. One last thing, people causing violence because of Joker would be equivalent to The Good, The Bad and The Ugly inspiring three people to have a gun duel for some gold.Rating:Score : 10/10Grade : A+"
9/10,Saw it tonight and had to make an account so I can tell everyone how good it is,noahbarber-35968,10/4/2019,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time"
10/10,Cinematic Masterpiece,ashleighjwood,10/4/2019,I read reviews before watching the film and was not disappointed! Joquain's performance..... the cinematography..... the fact that it was relatable in regards to mental illness.... it was all-consuming and I was enthralled the entire time! I'll be going back to see this again in the next few days and I NEVER do that!
7/10,Between a 7 and an 8,romanwatson,10/6/2019,"I thought this film was good but I just don't get the hype personally. The acting was amazing and the film was good overall but I think 'masterpiece' and 'film of the year' are a bit overused throughout the reviews. In no way did I dislike this film, I thought it was really good, just overhyped. I feel as though a lot of the 10/10 reviews are purely based on the fact that it already has amazing reviews and so people want to carry the praise further and that it is about the joker. If this film was released and was about some random guy in the same situation, I don't think the reviews would be as high but maybe that's the point."
10/10,THIS IS HOW A DC MOVIE SHOULD BE!,lilfin007,10/9/2019,"This movie is a masterpiece! It absolutely epitomizes what a DC movie should be. Dark, emotional, thought provoking, not just action action action. One of the best movies I've seen in a long time.Critics have definitely lost touch with the public and should be ignored on this one. Do yourself a favor and watch it!And remember to be good to one another. You dont know what someone else is going through."
10/10,Astonishing Masterpiece,Sinbaddylad,10/4/2019,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right."
10/10,Stunning,dariafa,9/1/2019,One of the best movies in these few years and 100% Oscar worthyJoaquin Phoenix delivers one of the best performances I've ever scene
10/10,BEST MOVIE OF THE YEAR,danieldx-47989,10/8/2019,"The movie was excellent and amazing, from the beginning that Joaquin's personality is seen as he evolves in the Joker until the end, Joker is the most difficult character to do and I think Joaquin did it!!"
10/10,First time writing a review... that's how good this is,pztc,10/6/2019,"Please go watch this movie! This is the first time I've ever wrote a review on this app and I've been using it to read reviews for years! That's how good this film is. Very dark, grimy and disturbing, exactly how an origin film about the joker should be. I have no doubt it will win multiple oscars. Do yourself a favor and go see it!!!"
10/10,Stop comparing it with Endgame,mrunalshikharerocks,10/3/2019,"Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :)"
10/10,Oscar Sooner or later,mamadneziiii,10/4/2019,"W.O.W!!!What can I say about how brilliant Phoenix act performance is ??In shortcut,movie of the year 💯/💯👏"
6/10,Is it great? I don't know.,ernestoherreraf,10/25/2019,"When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.Before I continue writing, let me say this, This is NOT the film of the year nor is it a real masterpiece. The cinematography is excellent and the acting is incredible, that's just it. The side-characters are bland and overly dramatic. The plot heavily relies on plot-twists and the film is so harsh that it actually falls flat on it's face.Are there no good points though? Phoenix is phenomenal and the score is great. The cinematography is also incredible but the plot is not that great at all. It even has plot holes and scenes that left me empty.Film of the year? Nope."
10/10,The best thing DC has done since Dark Knight,hcalvt11,10/5/2019,"Joker is without a doubt my new favorite DC film. It's dark and gritty but with enough psychological twists that it keeps you guessing from beginning to end. Nothing can be taken at face value and the film forces you to think from beginning to end. Don't listen to the critics, this one is worth watching multiple times in theaters."
6/10,Extremely overrated,coxlchris,10/23/2019,"I went into this film expecting an all-time classic based on the reviews I had read & what I ended up watching was just a decent film overall. Phoenix is outstanding...so he definitely did his part. But I feel like if you've seen the trailers you've seen the movie because the best way I can describe this film is it feels like a 2 hour version of the trailer. At 2 hours it's a relatively common runtime, but it felt a lot longer...which isn't good. I'd say this is much more of a rental than a theater movie. Kinda just....eh."
10/10,True Masterpiece,arjunnicholas,12/10/2019,Evil but beautiful...Todd Philips truely deserves a salute.Absolute Masterpiece.Coming to the castJoaquin phoenix is GOD...Di niro made his markRest are outnumbered by phoenix's presence.Must watch CULT CLASSIC
10/10,Is it me or is it this society?,chlorpromazin,12/9/2019,Is it me or is it this society?
10/10,Mesmerizing,pankajshukla-58226,9/1/2019,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:)
10/10,Clear the Shelf for the Oscars,davidgibson-19224,10/9/2019,"I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.PS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home."
10/10,Perfect,alshehhi-94809,9/1/2019,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10
10/10,Masterpiece,jegorstepanow,10/4/2019,"Yesterday was that day, when I understand, that I have touched history. This movie will drag you in your deepest thoughts, in your darkest secrets and suffering. This masterpiece will grind you, like a meat grinder and you will watch it in silence and with open mouth. Like the whole cinema will.I don't like comics movie, marvel is very pompous, absurd and insipid. In my opinion. It's not an art, it's just an attraction. As DC movies was too. But now DC made history, the made art and made drama.To be more understandable. When you watch for example Avengers or League of Justice you are eating McDonald's hamburger. But when you watch Joker you are eating 1000$ stake in the most luxurious restaurant in the world."
6/10,OMG - Am I getting old or are people getting more stupid,baddddboi,11/2/2019,"I was so hyped up to see this movie, loved the trailer, only movie I have wanted to watch in the cinema for a very long time.I watched it and was bored. the astectics were amazing, music was good, story and execution was meh. the performence of the joker was a good performence but people raving about this are driving me mad. either you have not seen many movies or I have seen too many. this movie was bang average and was actually boring. I was thinking about leaving half way through as I was bored out of my mind.I do not regret watching it but it is being so overhyped that I am so confused right now. I think it had a good premise but could have been so much more, so much more.Signs of a great movie is the repeat viewing of it or it moving you, did not move me whatsoever and I would not watch it again.I thought maybe people are getting paid to write good review but have actually met people who think it is the best movie ever.... OMGGGThis movie is bang average and way overhyped.phenoix performence is good but as the story and execution is so bad, I feel he never even touched the higher spectrums of performence.I have experienced and seen worse in my life, if this made you feel, you are (i hate this word but have to use it) a snowflake. Please get off social media and live life.there is a real world out there."
10/10,"I liked him before, but this is the 1st time I truly loved a Joker!",Johnny-Dy,11/30/2019,"Nothing short of what I expected. Hands down the best psychological drama ever made, as best as I recall seeing. I never thought that The Joker could be the hero, that would pretty much make everyone else the villains, but it does happen! He does it! Monumental performance by Joaquin Phoenix.Honestly I thought the script would be brilliant, but it's just about good enough, he makes it seem brilliant! Or maybe JP just embodies perfectly the vision of the screenplay writer, and they're both equally good! I've seen it in something akin HDrip and enjoyed every moment of this movie and I await the Blu Ray release so I can enjoy it again, in more detail!The only way you wouldn't like this movie is if you'd be too much of a child or too stupid for it, as it has the most substance a movie can have, by a fu*king continental drift from the lot! It may be my favorite movie ever, but I have to see it a few more times to be certain! I give it good chances though, I liked him before, but this is the 1st time I truly loved a Joker!"
10/10,A legend,mitidariush,11/29/2019,Joaquin Phoenix is a good actor but I think now he become a legend.A nice movie with a great act of a great actor.An unforgettable movie.
8/10,Blew my mind,dianamarinelli,12/8/2019,Omg one of the best dc films out there blew my breath away. The performance of all the characters were outstanding and I love the twist and turns
10/10,Took my 65 year old mother to see it.,uniquefx,10/13/2019,"I saw the movie after the opening weekend and loved it. I think it's a masterpiece. Convinced my 65 year old mother too see it, who couldn't even remember whose nemesis the Joker is. She had read about all the negative press about the movie being too violent and taking light of mental health issues.She loved the movie. Sympathized for Arthur and was rooting for the Joker (to a certain point) She was surprised about the small amount of violence is depicted after all the press putdown and enjoyed the ""social commentary"" the movie conveys.Her score: 9 / 10Mom is always right."
10/10,Amazing movie,jasimnaeem-09465,9/1/2019,Best acting and story. This is an Oscar winning movie
10/10,"By far the best DC movie to date, Joaquin Phoenix was perfect.",jjhermans-90735,10/4/2019,"Wow, what a movie! I have to admit, When I first heard Joaquin Phoenix was going to be the joker, I was surprised. I wasn't sure how he was going to pull it off. I was hoping it wasn't going to be another cheesy rendition full of fluff and unrealistic explanations of how the Joker came to be. One where my (adult) son wouldn't have to keep nudging me to wake me up. I was pleasantly surprised on well Todd Phillips' version played and Joaquin's acting was superb. You could feel the anguish his character was going through right up to the point he lost his mind. Just an excellent, well acted movie that you almost forget is derived from a DC comic."
10/10,"Spectacular, awesome, fantastic",mr-faool,9/1/2019,"The reality, far from fiction!! That what's made the movie,,, the oscar winner actor made a new joker rivalry with heath ledger joker, better joker in some people opinion.. piece of art"
7/10,Kind of a letdown....,DJRMewzique,10/5/2019,"The reviews here are making this film out to be far better than it actually is. Don't get me wrong, technically, it is extremely well done and Phoenix's performance is really quite extraordinary (he is definitely looking at an Oscar nomination), but despite excellent writing, acting and direction........the film is kinda boring.It had its moments, and, sure, it has some very disturbing elements but....If I had a watch, I would have looked at it many times as what this film lacks is...excitement.The final act is most excellent, but it felt like it took forever to get to it."
9/10,DARK AND DEPRESSING.,andrewchristianjr,10/4/2019,"Dark, depressing and unsettling film with a haunting score. Incredible acting, directing and screenplay. Joaquin killed it. 5 out of 5 stars! Mental health is so important guys!!!"
